FECHA,18-59,60-69,70-79,80+
2021-03-30,345,237,237,294
2021-03-31,307,235,248,284
2021-04-01,329,228,259,305
2021-04-02,328,230,241,284
2021-04-03,322,256,240,291
2021-04-04,334,233,263,327
2021-04-05,358,255,295,311
2021-04-06,346,251,268,319
2021-04-07,348,246,251,311
2021-04-08,354,265,256,295
2021-04-09,351,284,283,336
2021-04-10,357,241,252,313
2021-04-11,331,259,275,301
2021-04-12,398,257,270,301
2021-04-13,352,260,287,303
2021-04-14,334,243,263,305
2021-04-15,336,243,264,304
2021-04-16,348,284,283,312
2021-04-17,328,269,256,294
2021-04-18,360,264,260,294
2021-04-19,351,256,317,286
2021-04-20,351,247,293,291
2021-04-21,303,265,300,276
2021-04-22,332,266,261,327
2021-04-23,371,225,263,296
2021-04-24,329,236,272,293
2021-04-25,339,239,252,263
2021-04-26,317,247,250,274
2021-04-27,312,252,249,261
2021-04-28,315,249,284,280
2021-04-29,318,235,264,312
2021-04-30,295,213,239,281
2021-05-01,278,227,262,293
2021-05-02,293,221,264,275
2021-05-03,313,241,227,293
2021-05-04,278,232,229,277
2021-05-05,272,252,267,275
2021-05-06,267,218,235,255
2021-05-07,282,224,240,256
2021-05-08,279,199,197,231
2021-05-09,248,208,242,271
2021-05-10,256,204,235,241
2021-05-11,294,198,225,268
2021-05-12,249,192,225,244
2021-05-13,254,200,202,246
2021-05-14,234,171,221,244
2021-05-15,265,180,205,228
2021-05-16,243,198,219,260
2021-05-17,245,191,198,260
2021-05-18,251,179,201,236
2021-05-19,264,192,227,218
2021-05-20,237,172,181,224
2021-05-21,237,164,207,215
2021-05-22,214,187,198,190
2021-05-23,251,180,166,218
2021-05-24,216,164,189,241
2021-05-25,223,179,191,198
2021-05-26,205,183,197,209
2021-05-27,193,179,200,226
2021-05-28,225,165,174,205
2021-05-29,214,157,184,203
2021-05-30,219,168,162,200
2021-05-31,204,166,181,215
2021-06-01,205,162,198,240
2021-06-02,229,155,161,220
2021-06-03,199,160,172,183
2021-06-04,190,167,135,193
2021-06-05,200,147,163,204
2021-06-06,189,145,151,196
2021-06-07,202,154,138,188
2021-06-08,178,145,143,186
2021-06-09,189,146,153,188
2021-06-10,205,148,135,204
2021-06-11,210,144,121,178
2021-06-12,170,116,130,183
2021-06-13,196,120,115,183
2021-06-14,170,126,133,172
2021-06-15,174,134,145,173
2021-06-16,171,124,123,175
2021-06-17,164,128,103,162
2021-06-18,212,106,109,182
2021-06-19,177,129,117,170
2021-06-20,187,110,104,185
2021-06-21,190,103,110,188
2021-06-22,160,95,104,183
2021-06-23,161,104,94,157
2021-06-24,175,104,109,168
2021-06-25,183,103,101,171
2021-06-26,167,106,108,187
2021-06-27,150,100,120,154
2021-06-28,163,99,94,173
2021-06-29,157,88,106,185
2021-06-30,166,82,99,162
2021-07-01,180,98,109,171
2021-07-02,150,94,93,166
2021-07-03,176,78,91,170
2021-07-04,168,90,90,148
2021-07-05,158,88,109,145
2021-07-06,140,76,111,162
2021-07-07,128,84,102,163
2021-07-08,134,91,101,171
2021-07-09,154,83,111,175
2021-07-10,168,69,92,163
2021-07-11,150,79,101,142
2021-07-12,154,78,98,167
2021-07-13,150,64,100,164
2021-07-14,144,55,79,134
2021-07-15,148,73,75,164
