FECHA_VACUNACION,ASTRAZENECA,JANSSEN,MODERNA,PFIZER,SINOPHARM
2021-12-29,4053008,117,85,28090122,18664069
2021-12-30,4064725,117,89,28250671,18711534
2021-12-31,4068383,117,92,28298288,18732202
2022-01-01,4069319,117,99,28321468,18740307
2022-01-02,4072619,117,104,28417027,18763115
2022-01-03,4079558,117,106,28603556,18822980
2022-01-04,4086657,117,112,28811091,18887035
2022-01-05,4094053,117,121,29058513,18953720
2022-01-06,4102447,117,122,29313553,19014905
2022-01-07,4111381,117,129,29570044,19074217
2022-01-08,4120469,117,132,29845625,19128595
2022-01-09,4126512,117,137,30010609,19163064
2022-01-10,4135941,117,143,30226533,19220394
2022-01-11,4144407,117,145,30432640,19270223
2022-01-12,4152944,117,148,30624240,19317164
2022-01-13,4161261,117,149,30823883,19360179
2022-01-14,4169209,117,153,31012049,19397844
2022-01-15,4177301,117,155,31202186,19427868
2022-01-16,4181868,117,159,31311634,19447053
2022-01-17,4189407,117,159,31454539,19483139
2022-01-18,4196218,117,165,31587607,19514127
2022-01-19,4202210,117,166,31717755,19544182
2022-01-20,4208088,117,170,31832571,19572169
2022-01-21,4213665,117,173,31944544,19597141
2022-01-22,4218948,117,181,32070398,19620547
2022-01-23,4225991,117,195,32165385,19637789
2022-01-24,4237432,117,199,32304322,19662596
2022-01-25,4252281,117,199,32444446,19685165
2022-01-26,4270569,117,210,32592874,19707833
2022-01-27,4293219,117,216,32750531,19728752
2022-01-28,4317936,117,221,32913906,19747840
2022-01-29,4350821,117,227,33139637,19765679
2022-01-30,4378108,117,233,33312334,19777694
2022-01-31,4409382,117,236,33501913,19797832
2022-02-01,4444021,117,237,33686656,19817828
2022-02-02,4480492,117,245,33851213,19837686
2022-02-03,4518446,117,247,34025294,19856820
2022-02-04,4555628,117,250,34207744,19875557
2022-02-05,4603698,117,256,34396123,19892891
2022-02-06,4636947,117,258,34508181,19903964
2022-02-07,4677341,117,260,34665407,19923804
2022-02-08,4715474,117,266,34825794,19942564
2022-02-09,4750981,117,271,34986125,19960221
2022-02-10,4787381,117,275,35136420,19977802
2022-02-11,4823602,117,279,35299746,19995422
2022-02-12,4864249,117,280,35444914,20010215
2022-02-13,4890193,117,281,35533080,20019363
2022-02-14,4913436,117,283,35650682,20033373
2022-02-15,4943929,117,286,35793640,20047519
2022-02-16,4973657,117,288,35951744,20062550
2022-02-17,5004671,117,290,36111489,20077342
2022-02-18,5037142,117,295,36284578,20092380
2022-02-19,5074749,117,300,36482460,20105022
2022-02-20,5105676,117,304,36624120,20113893
2022-02-21,5135304,117,308,36808256,20127377
2022-02-22,5164216,117,308,37003704,20142103
2022-02-23,5191870,117,309,37181665,20156462
2022-02-24,5215921,117,311,37358707,20168928
2022-02-25,5238059,117,313,37546478,20181396
2022-02-26,5263797,117,320,37720007,20191133
2022-02-27,5284864,117,325,37835589,20197951
2022-02-28,5309294,117,332,38008801,20210449
2022-03-01,5322823,117,333,38161015,20222267
2022-03-02,5335783,117,336,38318093,20233450
2022-03-03,5347615,117,337,38474064,20244479
2022-03-04,5359162,117,340,38641294,20255541
2022-03-05,5380783,117,346,38815771,20264970
2022-03-06,5400883,117,348,38914356,20270971
2022-03-07,5421407,117,352,39042148,20281786
2022-03-08,5441245,117,352,39153949,20291891
2022-03-09,5465568,117,356,39272439,20301788
2022-03-10,5491516,117,364,39393203,20312449
2022-03-11,5517271,117,369,39523506,20322613
2022-03-12,5554944,117,379,39669927,20332015
2022-03-13,5588303,117,382,39761321,20338963
2022-03-14,5615888,117,384,39853388,20348450
2022-03-15,5647904,117,395,39941008,20358215
2022-03-16,5680305,117,397,40025648,20367755
2022-03-17,5715496,117,408,40103689,20377391
2022-03-18,5753093,117,418,40194202,20387060
2022-03-19,5801298,117,426,40298380,20395835
2022-03-20,5842703,117,433,40366215,20402945
2022-03-21,5880238,117,437,40429221,20412149
2022-03-22,5927403,117,439,40494114,20422427
2022-03-23,5974670,117,445,40558260,20432049
2022-03-24,6034830,117,457,40623230,20441330
2022-03-25,6103162,117,466,40699353,20450947
2022-03-26,6205850,117,473,40813175,20460940
2022-03-27,6300853,117,479,40896103,20468996
2022-03-28,6384079,117,486,40959349,20478221
2022-03-29,6467565,117,488,41024053,20487161
2022-03-30,6556387,117,497,41088673,20495980
2022-03-31,6653617,117,509,41154555,20504471
2022-04-01,6762558,117,537,41233474,20514045
2022-04-02,6893088,117,780,41338911,20522265
2022-04-03,7009104,117,1704,41427357,20530130
2022-04-04,7086815,117,2534,41481937,20536893
2022-04-05,7133211,117,2709,41520750,20542522
2022-04-06,7224050,117,4814,41591971,20551094
2022-04-07,7303280,117,8387,41667137,20559208
2022-04-08,7377093,117,12032,41752786,20567756
2022-04-09,7452432,117,16783,41859552,20575699
2022-04-10,7509515,117,18950,41949948,20582509
2022-04-11,7565584,117,28078,42032735,20590464
2022-04-12,7617994,117,37482,42123046,20598310
2022-04-13,7664348,117,50094,42224222,20606157
2022-04-14,7691763,117,52226,42280889,20610412
2022-04-15,7707272,117,53703,42318670,20613225
2022-04-16,7747447,117,58480,42407328,20619359
2022-04-17,7773676,117,60788,42471203,20624137
2022-04-18,7806038,117,72944,42559694,20631957
2022-04-19,7835340,117,85556,42650748,20639614
