DEPARTAMENTO,DISTRITO,POBLACION
LORETO,ALTO TAPICHE (Sta. Elena),1786
LORETO,CAPELO (Flor de Punga),2979
LORETO,EMILIO SAN MARTIN (Tamango),6161
LORETO,MAQUIA (Sta. Isabel),7364
LORETO,PUINAHUA (Bretaña),4865
LORETO,SAQUENA (Bagazán),3467
LORETO,SOPLIN (Nva. Alejandría) 4/,876
LORETO,TAPICHE (Iberia),1152
LORETO,YAQUERANA (Bolognesi) * 5/,2526
LORETO,JENARO HERRERA,4303
LORETO,CONTAMANA,22974
LORETO,INAHUAYA,2687
LORETO,PADRE MARQUEZ (Tiruntán),5648
LORETO,PAMPA HERMOSA,5938
LORETO,SARAYACU (Dos de Mayo),12384
LORETO,VARGAS GUERRA (Orellana),8736
MADRE DE DIOS,TAMBOPATA (Pto. Maldonado),87510
MADRE DE DIOS,INAMBARI (Mazuco),11810
MADRE DE DIOS,LAS PIEDRAS 1/,9482
MADRE DE DIOS,LABERINTO (Pto. Rosario de Laberinto),5895
MADRE DE DIOS,FITZCARRALD 3/,1084
MADRE DE DIOS,MANU 2/,2541
MADRE DE DIOS,MADRE DE DIOS 4/,6272
MADRE DE DIOS,HEUPETUHE,6033
MADRE DE DIOS,IÑAPARI,1624
MADRE DE DIOS,IBERIA,5314
MADRE DE DIOS,TAHUAMANU (San Lorenzo),2798
PIURA,PIURA,172220
PIURA,CASTILLA,131184
PIURA,CATACAOS,64314
PIURA,CURA MORI (Cucungara),15737
PIURA,EL TALLAN (Sinchao),4773
PIURA,LA ARENA,34028
PIURA,LA UNION,34941
PIURA,LAS LOMAS,27031
PIURA,TAMBO GRANDE,91574
PIURA,VEINTISÉIS DE OCTUBRE,104469
PIURA,AYABACA,32333
PIURA,FRIAS,20283
PIURA,JILILI,2684
PIURA,LAGUNAS,6126
PIURA,MONTERO,6045
PIURA,PACAIPAMPA,20991
PIURA,PAIMAS,9003
PIURA,SAPILLICA,10296
PIURA,SICCHEZ,2294
PIURA,SUYO,11213
PIURA,HUANCABAMBA,27012
PIURA,CANCHAQUE,7442
PIURA,EL CARMEN DE LA FRONTERA,11630
PIURA,HUARMACA,33695
PIURA,LALAQUIZ (Tunal),4477
PIURA,SAN MIGUEL DE EL FAIQUE,8667
PIURA,SONDOR,6840
PIURA,SONDORILLO,9629
PIURA,PAITA,72073
PIURA,AMOTAPE,2105
PIURA,ARENAL,1148
PIURA,COLAN (San Lucas),13070
PIURA,LA HUACA,10744
PIURA,TAMARINDO,4350
PIURA,VICHAYAL (Sn. Felino de Vichayal),4645
PIURA,CHULUCANAS,78650
PIURA,BUENOS AIRES,8527
PIURA,CHALACO,7484
PIURA,LA MATANZA,13694
PIURA,MORROPON,11790
PIURA,SALITRAL,8011
PIURA,SAN JUAN DE BIGOTE (Bogote),6715
PIURA,SANTA CATALINA DE MOSSA,3512
PIURA,SANTO DOMINGO,6743
PIURA,YAMANGO,8737
PIURA,SECHURA,34921
PIURA,BELLAVISTA LA UNION (Bellavista),4160
PIURA,BERNAL,6264
PIURA,CRISTO NOS VALGA (San Cristo),3768
PIURA,RINCONADA LLICUAR (Dos Pueblos),2939
PIURA,VICE,14207
